,1,2,3,4,5,6,11,12,13,14,15,99
1,0.0,26426.0,38534.0,52278.0,83927.0,12824.0,30700.0,61349.0,57872.0,13056.0,40115.0,13827.0
2,26426.0,0.0,27747.0,41491.0,63888.0,30619.0,10661.0,41310.0,37833.0,16011.0,20076.0,15420.0
3,38534.0,27747.0,0.0,13862.0,67772.0,40122.0,23562.0,36089.0,41717.0,25514.0,23960.0,24923.0
4,52278.0,41491.0,13862.0,0.0,81516.0,53866.0,37306.0,38024.0,55461.0,39258.0,37704.0,38667.0
5,83927.0,63888.0,67772.0,81516.0,0.0,85515.0,53637.0,51419.0,26167.0,70907.0,44404.0,70316.0
6,12824.0,30619.0,40122.0,53866.0,85515.0,0.0,32288.0,62937.0,59460.0,14644.0,41703.0,15415.0
11,30700.0,10661.0,23562.0,37306.0,53637.0,32288.0,0.0,31059.0,27582.0,17680.0,9825.0,17089.0
12,61349.0,41310.0,36089.0,38024.0,51419.0,62937.0,31059.0,0.0,25252.0,48329.0,21352.0,47738.0
13,57872.0,37833.0,41717.0,55461.0,26167.0,59460.0,27582.0,25252.0,0.0,44852.0,18349.0,44261.0
14,13056.0,16011.0,25514.0,39258.0,70907.0,14644.0,17680.0,48329.0,44852.0,0.0,27095.0,807.0
15,40115.0,20076.0,23960.0,37704.0,44404.0,41703.0,9825.0,21352.0,18349.0,27095.0,0.0,26504.0
99,13827.0,15420.0,24923.0,38667.0,70316.0,15415.0,17089.0,47738.0,44261.0,807.0,26504.0,0.0
